treeName,Leaf Type,Leaflet Arrangement ,Leaf grouping,Leaf Edge+LE1:L43,Leaf Lobes,Leaf Base,Blade Structure,Leaf Shape,Needles/scales,needles in bunch,Bark color,Bark Texture,location notes
Black Maple,deciduous,pinnately,simple,rough,TRUE,,,palmate,,,black grey,smooth,all ontario
Highbush Cranberry,deciduous,pinnately,simple,rough,TRUE,,,palmately lobed,,,grey,small ridges,north ontario
Mountain Maple,deciduous,pinnately,simple,rough,TRUE,,,palmately lobed,,,green grey red,smooth,northwest ontario
Norway Maple,deciduous,pinnately,simple,rough,TRUE,,,palmately lobed,,,dark grey,small ridges,south ontario
Red Maple,deciduous,pinnately,simple,rough,TRUE,,,palmate,,,grey brown,smooth,south ontario
Silver Maple,deciduous,pinnately,simple,rough,TRUE,,,palmately lobed,,,grey,big ridges,mid- to south ontario 
Striped Maple,deciduous,pinnately,simple,rough,TRUE,,,palmately lobed,,,green brown,smooth,mid- to south ontario 
Sugar Maple,deciduous,pinnately,simple,rough,TRUE,,,palmately lobed,,,grey,big ridges,south ontario
Alternate Leaf Dogwood,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,red brown,small ridges,south ontario
American Beech,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,silver grey,smooth,mid- to south ontario 
American Chestnut,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,dark brown,big ridges,south west ontario
American Plum,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,red brown,smooth,south ontario
Balsam Poplar,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,dark grey,scales,all ontario
Blue Beech,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,grey,smooth ridges,south ontario
Canada Plum,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,grey brown,scales,very south ontario
Common Pear,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,dark brown,scales,south ontario
Downy Serviceberry,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,blue grey,smooth,south west ontario
Garden plum,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,dark grey,scales,south ontario
Green Alder,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,red brown grey,rough,north west ontario
Mountain Juneberry,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,grey,rough,north west ontario
Pin Cherry,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,red brown,smooth,all ontario
Sand Cherry,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,grey brown,smooth,all ontario
Smooth Serviceberry,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,grey,smooth,south ontario
Sour Cherry,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,grey,smooth,all ontario
Speckled Alder,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,red brown,smooth,north ontario
Sweet Birch,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,grey,rough,very south ontario
Sweet Cherry,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,red brown,smooth,very south ontario
White Poplar,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,grey white,rough,all ontario
Wild Black Cherry,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,red brown,scales,south ontario
Wild Crabapple,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,oval,,,dark grey red brown,scales,south ontario
Eastern Cottonwood,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,triangular,,,dark grey,rough,south ontario
Lombardy Poplar,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,triangular,,,grey brown,rough,south ontario
European White Birch,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,heart,,,white,smooth papery,south ontario
Grey Birch,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,heart,,,grey,smooth papery,south ontario
Large Toothed Aspen,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,heart,,,dark grey,rough,south ontario
Trembling Aspen,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,heart,,,dark grey,rough,all ontario
White Birch,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,heart,,,white,smooth papery,all ontario
Yellow Birch,deciduous,pinnately,simple,rough,FALSE,symmetrical,broad,heart,,,yellow brown,rough papery,mid- to south ontario
American Elm,deciduous,pinnately,simple,rough,FALSE,asymmetrical,broad,oval,,,grey,small ridges,mid- to south ontario
Common Hackberry,deciduous,pinnately,simple,rough,FALSE,asymmetrical,broad,oval,,,brown grey,big ridges,south ontario
Rock Elm,deciduous,pinnately,simple,rough,FALSE,asymmetrical,broad,oval,,,dark grey,scales,very south ontario
American Basswood,deciduous,pinnately,simple,rough,FALSE,asymmetrical,broad,heart,,,dark grey brown,small ridges,south ontario
Common Apple,deciduous,pinnately,simple,rough,FALSE,,narrow,oval,,,brown grey,smooth,south ontario
Black Willow,deciduous,pinnately,simple,rough,FALSE,,narrow,linear,,,dark brown,big ridges,south ontario
Peach,deciduous,pinnately,simple,rough,FALSE,,narrow,linear,,,red brown,smooth,south ontario
Peachleaf Willow,deciduous,pinnately,simple,rough,FALSE,,narrow,linear,,,grey brown,ridges,south ontario
Weeping Willow,deciduous,pinnately,simple,rough,FALSE,,narrow,linear,,,light brown,ridges,south ontario
Bitternut Hickory,deciduous,pinnately,compound,smooth,,,broad,,,,grey,ridges,south ontario
Black Locust,deciduous,pinnately,compound,smooth,,,broad,,,,dark brown,rough scales,south ontario
Honey Locust,deciduous,pinnately,compound,smooth,,,broad,,,,brown,scales,very south ontario
Kentucky Coffeetree,deciduous,pinnately,compound,smooth,,,broad,,,,dark grey,small ridges,south west ontario
Pignut Hickory,deciduous,pinnately,compound,smooth,,,broad,,,,grey,rough,very south ontario
Shellbark Hickory,deciduous,pinnately,compound,smooth,,,broad,,,,grey,rough papery,south ontario
Black Ash,deciduous,pinnately,compound,smooth,,,narrow,,,,light grey,scales,all ontario
Blue Ash,deciduous,pinnately,compound,smooth,,,narrow,,,,grey brown,scales,mid ontario
Butternut,deciduous,pinnately,compound,smooth,,,narrow,,,,red brown,ridges,south east ontario
Pumpkin Ash,deciduous,pinnately,compound,smooth,,,narrow,,,,grey,ridges,very south ontario
Tree-of-Heaven,deciduous,pinnately,compound,smooth,,,narrow,,,,grey,rough,south ontario
White Ash,deciduous,pinnately,compound,smooth,,,narrow,,,,grey,ridges,south ontario
Manitoba Maple,deciduous,pinnately,compound,rough,TRUE,,,,,,dark grey brown,small ridges,all ontario
Poison Sumac,deciduous,pinnately,compound,rough,FALSE,,broad,,,,grey,smooth,south ontario
Shagbark Hickory,deciduous,pinnately,compound,rough,FALSE,,broad,,,,dark grey,rough papery,south ontario
American Mountain Ash,deciduous,pinnately,compound,rough,FALSE,,narrow,,,,red brown,scales,all ontario
Black Walnut,deciduous,pinnately,compound,rough,FALSE,,narrow,,,,black grey,ridges,south west ontario
Showy Mountain Ash,deciduous,pinnately,compound,rough,FALSE,,narrow,,,,grey green brown,scales,all ontario
Staghorn Sumac,deciduous,pinnately,compound,rough,FALSE,,narrow,,,,yellow brown,scales,south ontario
Common Hoptree,deciduous,palmately,,smooth,,,,,,,grey,rough scales,south west ontario
Horsechestnut,deciduous,palmately,,rough,,,,,,,dark grey brown,scales,south ontario
Ohio Buckeye,deciduous,palmately,,rough,,,,,,,light brown,scales,south west ontario
Balsam Fir,coniferous,,,,,,,,needles,1,grey,scales,all ontario
Black Spruce,coniferous,,,,,,,,needles,1,grey brown,scales,all ontario
Blue Spruce,coniferous,,,,,,,,needles,1,purple grey brown,rough,north west ontario
Eastern Hemlock,coniferous,,,,,,,,needles,1,dark brown,rough ridges,south ontario
Norway Spruce,coniferous,,,,,,,,needles,1,dark purple brown,scales,all ontario
Red Spruce,coniferous,,,,,,,,needles,1,red black,scales,east ontario
White Spruce,coniferous,,,,,,,,needles,1,grey,scales,north ontario
Australian Pine,coniferous,,,,,,,,needles,2,dark brown grey,rough scales,very south ontario
Jack Pine,coniferous,,,,,,,,needles,2,dark brown,small ridges,all ontario
Scots Pine,coniferous,,,,,,,,needles,2,grey orange brown,rough scales,south ontario
Eastern White Pine,coniferous,,,,,,,,needles,5 or more,dark grey green,scales,all ontario
Tamarack,coniferous,,,,,,,,needles,5 or more,light red brown,scales,north ontario
Eastern Red Cedar,coniferous,,,,,,,,scales,,light red brown,rough papery,east ontario
