treeName,Leaf Type,Leaflet Arrangement ,Leaf grouping,Leaf Edge+LE1:L43,Leaf Lobes,Leaf Base,Blade Structure,Leaf Shape,Needles/scales,needles in bunch,Bark color,Bark Texture,location notes
American Elm,deciduous,pinnately,simple,rough,0,asymmetrical,broad,oval,,,grey,small ridges,mid- to south ontario
Common Hackberry,deciduous,pinnately,simple,rough,0,asymmetrical,broad,oval,,,brown grey,big ridges,south ontario
Rock Elm,deciduous,pinnately,simple,rough,0,asymmetrical,broad,oval,,,grey,scales,very south ontario
American Basswood,deciduous,pinnately,simple,rough,0,asymmetrical,broad,heart,,,grey brown,small ridges,south ontario
Common Apple,deciduous,pinnately,simple,rough,0,,narrow,oval,,,brown grey,smooth,south ontario
Black Willow,deciduous,pinnately,simple,rough,0,,narrow,linear,,,brown,big ridges,south ontario
Peach,deciduous,pinnately,simple,rough,0,,narrow,linear,,,red brown,smooth,south ontario
Peachleaf Willow,deciduous,pinnately,simple,rough,0,,narrow,linear,,,grey brown,big ridges,south ontario
Weeping Willow,deciduous,pinnately,simple,rough,0,,narrow,linear,,,brown,big ridges,south ontario
Bitternut Hickory,deciduous,pinnately,compound,smooth,,,broad,,,,grey,small ridges,south ontario
Black Locust,deciduous,pinnately,compound,smooth,,,broad,,,,brown,scales,south ontario
Honey Locust,deciduous,pinnately,compound,smooth,,,broad,,,,brown,scales,very south ontario
Kentucky Coffeetree,deciduous,pinnately,compound,smooth,,,broad,,,,grey,small ridges,south west ontario
Pignut Hickory,deciduous,pinnately,compound,smooth,,,broad,,,,grey,big ridges,very south ontario
Shellbark Hickory,deciduous,pinnately,compound,smooth,,,broad,,,,grey,papery,south ontario
Black Ash,deciduous,pinnately,compound,smooth,,,narrow,,,,grey,scales,all ontario
Blue Ash,deciduous,pinnately,compound,smooth,,,narrow,,,,grey brown,scales,mid ontario
Butternut,deciduous,pinnately,compound,smooth,,,narrow,,,,red brown,small ridges,south east ontario
Pumpkin Ash,deciduous,pinnately,compound,smooth,,,narrow,,,,grey,small ridges,very south ontario
Tree-of-Heaven,deciduous,pinnately,compound,smooth,,,narrow,,,,grey,small ridges,south ontario
White Ash,deciduous,pinnately,compound,smooth,,,narrow,,,,grey,big ridges,south ontario
Manitoba Maple,deciduous,pinnately,compound,rough,1,,,,,,grey brown,small ridges,all ontario
Poison Sumac,deciduous,pinnately,compound,rough,0,,broad,,,,grey,smooth,south ontario
Shagbark Hickory,deciduous,pinnately,compound,rough,0,,broad,,,,grey,papery,south ontario
American Mountain Ash,deciduous,pinnately,compound,rough,0,,narrow,,,,red brown,scales,all ontario
Black Walnut,deciduous,pinnately,compound,rough,0,,narrow,,,,black grey,big ridges,south west ontario
Showy Mountain Ash,deciduous,pinnately,compound,rough,0,,narrow,,,,grey green brown,scales,all ontario
Staghorn Sumac,deciduous,pinnately,compound,rough,0,,narrow,,,,yellow brown,scales,south ontario
Common Hoptree,deciduous,palmately,,smooth,,,,,,,grey,rough scales,south west ontario
Horsechestnut,deciduous,palmately,,rough,,,,,,,grey brown,scales,south ontario
Ohio Buckeye,deciduous,palmately,,rough,,,,,,,brown,scales,south west ontario
Balsam Fir,coniferous,,,,,,,,needles,1,grey,scales,all ontario
Black Spruce,coniferous,,,,,,,,needles,1,grey brown,scales,all ontario
Blue Spruce,coniferous,,,,,,,,needles,1,purple grey brown,scales,north west ontario
Eastern Hemlock,coniferous,,,,,,,,needles,1,brown,scales,south ontario
Norway Spruce,coniferous,,,,,,,,needles,1,purple brown,scales,all ontario
Red Spruce,coniferous,,,,,,,,needles,1,red black,scales,east ontario
White Spruce,coniferous,,,,,,,,needles,1,grey,scales,north ontario
Australian Pine,coniferous,,,,,,,,needles,2,brown grey,scales,very south ontario
Jack Pine,coniferous,,,,,,,,needles,2,brown,small ridges,all ontario
Scots Pine,coniferous,,,,,,,,needles,2,grey orange brown,scales,south ontario
Eastern White Pine,coniferous,,,,,,,,needles,5,grey green,scales,all ontario
Tamarack,coniferous,,,,,,,,needles,5,red brown,scales,north ontario
Eastern Red Cedar,coniferous,,,,,,,,scales,,red brown,papery,east ontario
